                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97361,                0.62597,                 1.4521,                0.94794,                 0.9339,                0.98478,                0.68719,                 1.0959,                0.60467,                 2.0012,              0.0013268,              0.0013268,              0.0013268
                     36,                0.95389,                0.63296,                 1.4483,                0.95027,                0.94872,                0.98465,                0.65902,                 1.1516,                0.65286,                 1.9927,               0.001307,               0.001307,               0.001307
                     37,                0.92122,                0.66541,                 1.4366,                0.97005,                0.94872,                0.97733,                0.71308,                 1.0324,                0.69328,                 1.8791,              0.0012872,              0.0012872,              0.0012872
                     38,                0.94455,                0.61054,                  1.453,                0.95111,                0.99772,                 0.9894,                0.66715,                 1.1421,                0.64108,                 2.0493,              0.0012674,              0.0012674,              0.0012674
                     39,                0.97149,                 0.6337,                 1.4639,                0.91983,                0.94872,                0.97916,                0.61432,                 1.2473,                 0.7002,                 2.1087,              0.0012476,              0.0012476,              0.0012476
                     40,                 0.9945,                0.65084,                  1.471,                0.90084,                0.94872,                0.96365,                0.61803,                 1.3125,                0.67207,                 2.1605,              0.0012278,              0.0012278,              0.0012278
                     41,                0.91099,                  0.617,                 1.4057,                0.97237,                0.97436,                0.97811,                0.67885,                  1.107,                0.59071,                 1.9899,               0.001208,               0.001208,               0.001208
                     42,                0.93606,                 0.5867,                  1.424,                0.99776,                0.97436,                0.99402,                0.69569,                 1.0555,                0.55173,                 1.8965,              0.0011882,              0.0011882,              0.0011882
                     43,                0.95952,                0.59538,                 1.4502,                0.97428,                0.97132,                0.99156,                0.69988,                 1.0761,                0.55526,                 1.9498,              0.0011684,              0.0011684,              0.0011684
                     44,                0.88314,                0.55867,                 1.3748,                      1,                 0.9639,                0.99273,                0.72269,                 1.0569,                0.49865,                 1.9096,              0.0011486,              0.0011486,              0.0011486
                     45,                0.92127,                0.60475,                 1.4113,                0.97315,                0.97436,                0.99402,                0.72556,                 1.0296,                0.49863,                 1.8609,              0.0011288,              0.0011288,              0.0011288
                     46,                0.89959,                0.58223,                 1.3963,                0.99688,                      1,                  0.995,                0.74964,                0.94272,                0.50958,                  1.762,               0.001109,               0.001109,               0.001109
                     47,                0.88994,                0.56381,                 1.3768,                0.99681,                      1,                  0.995,                0.73091,                0.96223,                0.53203,                 1.7749,              0.0010892,              0.0010892,              0.0010892
                     48,                0.91053,                0.56516,                 1.3803,                0.99559,                      1,                  0.995,                0.70692,                 1.0488,                0.59258,                 1.9211,              0.0010694,              0.0010694,              0.0010694
                     49,                0.92377,                0.60976,                 1.4432,                0.99494,                0.97436,                0.99233,                0.69174,                 1.0426,                0.57195,                  1.896,              0.0010496,              0.0010496,              0.0010496
                     50,                0.88857,                0.55141,                 1.3799,                 0.9937,                0.97436,                0.99357,                0.75964,                0.92929,                0.46023,                 1.7565,              0.0010298,              0.0010298,              0.0010298
                     51,                0.89361,                0.52958,                 1.4339,                0.99774,                0.97436,                 0.9945,                0.75206,                0.95026,                0.46791,                 1.7692,                0.00101,                0.00101,                0.00101
                     52,                0.90106,                0.57068,                 1.3875,                0.99727,                0.97436,                 0.9819,                0.75937,                0.89912,                0.53362,                   1.71,              0.0009902,              0.0009902,              0.0009902
